iter	Passed	Remaining
174	47559	88325
175	47826	88043
176	48158	87882
177	48435	87618
178	48756	87434
179	49068	87233
180	49284	86860
181	49528	86537
182	49737	86156
183	49941	85768
184	50148	85388
185	50403	85089
186	50704	84869
187	50929	84521
188	51188	84231
189	51493	84015
190	51773	83758
191	52027	83461
192	52234	83088
193	52439	82713
194	52640	82334
195	52853	81977
196	53132	81720
197	53420	81479
198	53734	81276
199	54022	81034
200	54279	80744
201	54521	80432
202	54793	80165
203	55151	80023
204	55429	79764
205	55776	79603
206	55998	79263
207	56299	79035
208	56602	78809
209	56934	78623
210	57174	78309
211	57480	78086
212	57732	77789
213	57942	77436
214	58158	77093
215	58363	76737
216	58559	76370
217	58779	76036
218	59065	75787
219	59315	75491
220	59524	75146
221	59821	74911
222	60040	74578
223	60269	74260
224	60548	74003
225	60804	73718
226	61107	73490
227	61339	73176
228	61628	72931
229	61924	72694
230	62254	72495
231	62550	72256
232	62872	72046
233	63087	71714
234	63349	71436
235	63660	71213
236	63946	70961
237	64147	70615
238	64348	70272
239	64555	69934
240	64756	69593
241	65010	69308
242	65298	69060
243	65524	68747
244	65778	68463
245	66022	68169
246	66229	67837
247	66512	67585
248	66747	67284
249	66965	66965
250	67230	66695
251	67629	66555
252	67903	66293
253	68222	66073
254	68491	65805
255	68729	65507
256	69110	65345
257	69388	65085
258	69696	64852
259	70055	64666
260	70364	64433
261	70640	64169
262	70856	63852
263	71086	63547
264	71309	63236
265	71561	62952
266	71812	62667
267	72050	62371
268	72309	62094
269	72581	61828
270	72972	61663
271	73265	61413
272	73464	61085
273	73688	60779
274	74022	60564
275	74260	60269
276	74489	59968
277	74796	59729
278	75074	59467
279	75344	59199
280	75608	58925
281	75849	58635
282	76136	58380
283	76366	58081
284	76702	57863
285	76981	57601
286	77201	57295
287	77477	57031
288	77804	56805
289	78028	56503
290	78309	56242
291	78669	56038
292	78945	55773
293	79254	55531
294	79538	55272
295	79791	54991
296	80176	54800
297	80312	54440
298	80556	54153
299	80819	53879
300	81122	53632
301	81377	53353
302	81604	53056
303	81817	52750
304	82130	52509
305	82338	52201
306	82657	51963
307	82932	51697
308	83144	51393
309	83380	51104
310	83667	50845
311	83925	50570
312	84221	50317
313	84575	50098
314	84881	49850
315	85161	49587
316	85386	49292
317	85632	49009
318	85838	48704
319	86052	48404
320	86339	48145
321	86599	47871
322	86824	47578
323	87032	47276
324	87336	47027
325	87569	46739
326	87781	46440
327	88020	46157
328	88243	45864
329	88460	45570
330	88754	45315
331	88999	45035
332	89342	44805
333	89642	44552
334	89933	44295
335	90231	44041
336	90546	43795
337	90790	43515
338	91055	43244
339	91353	42989
340	91575	42699
341	91804	42412
342	92047	42132
343	92318	41865
344	92729	41661
345	92988	41388
346	93271	41125
347	93500	40839
348	93705	40543
349	94045	40305
350	94359	40055
351	94635	39790
352	94964	39546
353	95175	39252
354	95447	38985
355	95662	38694
356	95921	38422
357	96125	38128
358	96350	37842
359	96577	37557
360	96798	37271
361	97142	37032
362	97445	36777
363	97777	36532
364	97989	36242
365	98202	35954
366	98489	35692
367	98771	35428
368	99081	35175
369	99327	34898
370	99548	34613
371	99903	34375
372	100149	34099
373	100351	33808
374	100594	33531
375	100829	33252
376	101170	33007
377	101423	32734
378	101727	32477
379	101923	32186
380	102160	31908
381	102474	31654
382	102685	31368
383	102964	31103
384	103268	30846
385	103554	30583
386	103835	30318
387	104062	30038
388	104356	29777
389	104618	29507
390	104932	29252
391	105231	28992
392	105564	28741
393	105787	28460
394	105993	28175
395	106410	27946
396	106626	27663
397	106888	27393
398	107185	27132
399	107413	26853
400	107664	26580
401	107929	26311
402	108129	26026
403	108374	25752
404	108599	25473
405	108868	25206
406	109078	24924
407	109311	24648
408	109678	24402
409	109922	24129
410	110170	23856
411	110376	23575
412	110715	23322
413	111003	23058
414	111263	22788
415	111533	22521
416	111831	22259
417	112147	22000
418	112463	21741
419	112740	21474
420	112975	21199
421	113222	20927
422	113503	20661
423	113805	20399
424	114014	20120
425	114292	19853
426	114542	19582
427	114841	19319
428	115154	19058
429	115430	18790
430	115726	18526
431	115960	18253
432	116185	17977
433	116422	17704
434	116623	17426
435	116907	17160
436	117223	16899
437	117535	16637
438	117832	16373
439	118078	16101
440	118394	15839
441	118666	15571
442	118956	15305
443	119196	15033
444	119445	14762
445	119761	14500
446	119984	14226
447	120286	13961
448	120578	13695
449	120819	13424
450	121069	13153
451	121327	12884
452	121617	12618
453	121812	12342
454	122031	12069
455	122318	11802
456	122595	11535
457	122828	11263
458	123083	10994
459	123286	10720
460	123526	10450
461	123766	10179
462	124045	9912
463	124401	9651
464	124695	9385
465	124992	9119
466	125212	8847
467	125592	8587
468	125789	8314
469	126044	8045
470	126246	7773
471	126516	7505
472	126727	7233
473	126987	6965
474	127256	6697
475	127492	6428
476	127711	6157
477	127970	5889
478	128230	5621
479	128534	5355
480	128804	5087
481	129025	4818
482	129314	4551
483	129581	4283
484	129850	4015
485	130143	3749
486	130474	3482
487	130797	3216
488	131055	2948
489	131411	2681
490	131609	2412
491	131878	2144
492	132129	1876
493	132399	1608
494	132650	1339
495	132931	1072
496	133139	803
497	133423	535
498	133613	267
499	133907	0
