iter	Logloss
0	0.6261604871
1	0.5636806304
2	0.5139728276
3	0.4674861402
4	0.4323504291
5	0.3999473342
6	0.3706088709
7	0.343399411
8	0.319447688
9	0.3011701695
10	0.2824395162
11	0.2680700239
12	0.2556463427
13	0.2451911122
14	0.2344070524
15	0.2265284128
16	0.2170544706
17	0.2094338443
18	0.2022183806
19	0.1963546481
20	0.1902364401
21	0.1852536148
22	0.1817018077
23	0.1776936045
24	0.1742308458
25	0.1703584961
26	0.1681102861
27	0.1644265839
28	0.1618922776
29	0.1597492416
30	0.1570195874
31	0.1541748394
32	0.1516735418
33	0.1501922937
34	0.148598039
35	0.146855624
36	0.1450928984
37	0.1429922801
38	0.1418102814
39	0.1393555991
40	0.1381771208
41	0.1373637338
42	0.1365043092
43	0.134406745
44	0.1337530663
45	0.1320789018
46	0.1313365911
47	0.1303845222
48	0.1297542583
49	0.1291078111
50	0.1283751688
51	0.1277554233
52	0.1269314166
53	0.1258514858
54	0.1247287334
55	0.1242719002
56	0.1238090221
57	0.1232108105
58	0.1226385444
59	0.1218534327
60	0.1213091436
61	0.1207682902
62	0.1203698387
63	0.1198153449
64	0.1194826273
65	0.1191889403
66	0.1188502672
67	0.1185445157
68	0.1175500198
69	0.1172169794
70	0.1168487178
71	0.1165793219
72	0.1157798939
73	0.1156101799
74	0.1152958076
75	0.1150367075
76	0.1147467053
77	0.1144424877
78	0.1139398789
79	0.113629251
80	0.1131827782
81	0.112562835
82	0.1119900174
83	0.1117957289
84	0.1115789021
85	0.1113987013
86	0.1108734902
87	0.1105102244
88	0.1102243783
89	0.1100244671
90	0.1098486516
91	0.1096759063
92	0.1094832164
93	0.1092709305
94	0.1090330634
95	0.1085713314
96	0.1083802495
97	0.1080831138
98	0.1079007049
99	0.107778493
100	0.107617688
101	0.1074856006
102	0.1071894521
103	0.107021098
104	0.1066496972
105	0.1065171411
106	0.1061536294
107	0.1060020864
108	0.1058374292
109	0.1057394706
110	0.1054863289
111	0.1053949214
112	0.1052219545
113	0.1051247576
114	0.1050392364
115	0.1049111023
116	0.1048190361
117	0.1046957426
118	0.1045854824
119	0.1044856473
120	0.1040544091
121	0.1038835765
122	0.103777924
123	0.1036566078
124	0.1034861959
125	0.1033776493
126	0.1031163066
127	0.1029855791
128	0.1028671471
129	0.1026596384
130	0.1022841395
131	0.1021999908
132	0.1021113541
133	0.1020081114
134	0.1019084864
135	0.1018291206
136	0.1017390415
137	0.1014935073
138	0.1013830053
139	0.1012996796
140	0.1010768636
141	0.1009411303
142	0.100876816
143	0.1006601562
144	0.1004780867
145	0.100324034
146	0.1002278556
147	0.1001415539
148	0.1000270692
149	0.09993872305
150	0.09982382291
151	0.09975549581
152	0.09963632545
153	0.0995291853
154	0.09929585103
155	0.09920036779
156	0.09913610866
157	0.09907425681
158	0.09895856582
159	0.09883885213
160	0.09874786425
161	0.09868967847
162	0.09860221576
163	0.09854779377
164	0.09848693811
165	0.09840692445
166	0.09834863416
167	0.0982864506
168	0.09812744654
169	0.09806788578
170	0.09798553217
171	0.09792168352
172	0.09784565595
173	0.09774456522
174	0.09766118032
175	0.0976000985
176	0.09748804079
177	0.09741037181
178	0.0971956857
179	0.09711485134
180	0.09706485035
181	0.09700577626
182	0.0969504787
183	0.09687321447
184	0.09679216693
185	0.09671857837
186	0.09662627064
187	0.09654505646
188	0.09648988785
189	0.09636102643
190	0.09628569686
191	0.09623081913
192	0.0961345144
193	0.09609334527
194	0.09604033853
195	0.09598278992
196	0.0958970471
197	0.09583775334
198	0.09566513013
199	0.09555413232
200	0.09550830406
201	0.0954637018
202	0.09539920843
203	0.09526565953
204	0.09517989751
205	0.09500017232
206	0.09494214693
207	0.09477349828
208	0.09469648229
209	0.09457336353
210	0.09449955373
211	0.09437422943
212	0.09427602695
213	0.09423957335
214	0.09418925833
215	0.09414796389
216	0.09410660861
217	0.09404059885
218	0.09397046135
219	0.09388635374
220	0.09383364701
221	0.0936954208
222	0.0936211207
223	0.09356461352
224	0.09349942891
225	0.09344662547
226	0.09336016023
227	0.09328018663
228	0.09320760622
229	0.09315962362
230	0.09303462868
231	0.09292793267
232	0.09280808352
233	0.09274499917
234	0.0926730042
235	0.09244050919
236	0.09239022796
237	0.09234213564
238	0.0923039829
239	0.0922612667
240	0.09222905862
241	0.09218987044
242	0.09209511926
243	0.09205411625
244	0.09201935088
245	0.09195464589
246	0.09192407509
247	0.09187381596
248	0.09180707959
249	0.09177253416
250	0.09169996544
251	0.09165218093
252	0.09161636659
253	0.09155845377
254	0.09152449611
255	0.09144584105
256	0.09130200299
257	0.09122969632
258	0.09114683681
259	0.09102011371
260	0.09095472087
261	0.09085875592
262	0.09082707219
263	0.09076905616
264	0.09072066748
265	0.09066888806
266	0.09059808816
267	0.09054258054
268	0.09048347239
269	0.0904490715
270	0.09038607632
271	0.09032904427
272	0.09028771369
273	0.09024393838
274	0.09010168035
275	0.09005042995
276	0.09001252626
277	0.08995780505
278	0.08990495898
279	0.08982621865
280	0.08979592236
281	0.08974470965
282	0.08970484607
283	0.08961218009
284	0.08952091482
285	0.08945517127
286	0.08942096769
287	0.08937302694
288	0.08929512916
289	0.08922567485
290	0.08917359906
291	0.08909938891
292	0.08905085231
293	0.08898433485
294	0.088922646
295	0.08887498289
296	0.0887458572
297	0.08872669582
298	0.08866419718
299	0.08861211489
300	0.08852210188
301	0.08847662821
302	0.08843994558
303	0.08839139365
304	0.08833138601
305	0.08829233561
306	0.08824405845
307	0.08818971419
308	0.08815807258
309	0.08810857748
310	0.08805349439
311	0.08798974011
312	0.08793082173
313	0.08783023378
314	0.08777205216
315	0.08772357691
316	0.08767698278
317	0.08762321357
318	0.08757909459
319	0.08752460163
320	0.08748104496
321	0.08737536649
322	0.08733170219
323	0.08730371234
324	0.08724476666
325	0.08720477752
326	0.0871604451
327	0.08711323746
328	0.08706969196
329	0.08702214558
330	0.08697464365
331	0.08693859482
332	0.08686238137
333	0.08681709877
334	0.08676578001
335	0.08671879645
336	0.08665835727
337	0.08663547759
338	0.08658610623
339	0.08654451699
340	0.08647984711
341	0.08644067166
342	0.08641079444
343	0.08636113947
344	0.08623822842
345	0.0861952052
346	0.08614269683
347	0.08612057053
348	0.08609656778
349	0.08602740151
350	0.08598034855
351	0.08594372077
352	0.08588984523
353	0.08585850752
354	0.08580903218
355	0.08577845592
356	0.08572547337
357	0.08569979462
358	0.08564809968
359	0.08562783396
360	0.08560091257
361	0.08549478779
362	0.08544459546
363	0.08537922444
364	0.08534216772
365	0.08529317176
366	0.08525161111
367	0.08521587632
368	0.08515179786
369	0.08510740202
370	0.08507135241
371	0.08503149299
372	0.08500982708
373	0.08498319946
374	0.08494241637
375	0.08491178317
376	0.08484384291
377	0.08479447961
378	0.08474357238
379	0.08472218672
380	0.08467467725
381	0.08460504616
382	0.08456773779
383	0.08451266875
384	0.08446470095
385	0.08441781931
386	0.0843575348
387	0.08433798009
388	0.08426828141
389	0.08422573107
390	0.08418997444
391	0.08415153392
392	0.08410002408
393	0.08404696925
394	0.08402005852
395	0.08392085464
396	0.08388192798
397	0.0838556604
398	0.08382338915
399	0.0837890951
400	0.08375717741
401	0.0837118514
402	0.08369505338
403	0.0836594348
404	0.08361427906
405	0.08358006898
406	0.08356563666
407	0.08352742777
408	0.08348038728
409	0.08346382089
410	0.08343899223
411	0.08341641593
412	0.08333330217
413	0.08327119556
414	0.08323222704
415	0.08319326009
416	0.08314931788
417	0.08309629504
418	0.08306307439
419	0.08302872107
420	0.08300657059
421	0.08295112095
422	0.08290220168
423	0.08284721244
424	0.08282557566
425	0.08278901001
426	0.08276867306
427	0.08273806716
428	0.08270418152
429	0.08266869266
430	0.08263569246
431	0.08260197059
432	0.08258224145
433	0.08254539972
434	0.0825199721
435	0.08245878187
436	0.08239949408
437	0.08235486791
438	0.08230173483
439	0.08226883082
440	0.08223170911
441	0.08215312372
442	0.08210977918
443	0.08207563331
444	0.08205223733
445	0.08200968231
446	0.08197644554
447	0.08194137107
448	0.08190128885
449	0.08185813799
450	0.08180511878
451	0.0817650506
452	0.08172332566
453	0.08170224546
454	0.08167431098
455	0.08163561751
456	0.08160897012
457	0.08158788785
458	0.08156622481
459	0.08154355024
460	0.08150998825
461	0.08148937937
462	0.08145434285
463	0.08141866786
464	0.08137909674
465	0.08130784007
466	0.08126919782
467	0.08116497471
468	0.08114806074
469	0.08112106786
470	0.08110509523
471	0.08106779856
472	0.08103583382
473	0.08100563424
474	0.08097828183
475	0.08094838953
476	0.08092341789
477	0.08088399158
478	0.08084507921
479	0.08079374979
480	0.08075921033
481	0.08071662983
482	0.08068505113
483	0.08064776772
484	0.08063449797
485	0.08059506333
486	0.08056597434
487	0.08052769603
488	0.08047124162
489	0.08043783197
490	0.08041419761
491	0.08038594077
492	0.08033430614
493	0.08030186045
494	0.08027428213
495	0.08024392865
496	0.08022620957
497	0.08018774383
498	0.08013688312
499	0.08009615047
